Number,FantasyPosition,PlayerSeasonID,AuctionValue,AuctionValuePPR
31,DB,991315072,,
31,DB,991409046,,
62,OL,991315073,,
62,OL,991340568,,
62,OL,991409047,,
69,DL,991340569,,
69,DL,991315074,,
16,LB,991384027,,
16,LB,991409048,,
30,RB,991324802,,
46,LS,991315075,,
46,LS,991340570,,
46,LS,991409049,,
49,LB,991409050,,
49,LB,991315076,,
49,LB,991340571,,
2,WR,991340572,,
2,WR,991315077,,
2,WR,991409051,,
81,TE,991409052,,
81,TE,991340573,,
81,TE,991315078,,
37,DB,991315079,,
36,DB,991409053,,
36,DB,991315080,,
36,DB,991340574,,
53,LB,991340575,,
53,LB,991315081,,
53,LB,991409054,,
35,DB,991338345,,
35,DB,991409055,,
21,RB,991362003,,
21,RB,991315082,,
21,RB,991409056,,
98,DL,991409057,,
98,DL,991315083,,
98,DL,991340576,,
71,OL,991409058,,
71,OL,991340577,,
71,OL,991315084,,
80,WR,991315085,,
43,LB,991354878,,
78,OL,991315086,,
14,WR,991315087,,
14,WR,991340578,,
14,WR,991409059,,
88,TE,991351314,,
88,TE,991315088,,
4,RB,991409060,,
4,RB,991315089,,
4,RB,991340579,,
12,WR,991315090,,
12,WR,991340580,,
12,WR,991409061,,
85,TE,991340581,,
85,TE,991315091,,
85,TE,991409062,,
73,OL,991340582,,
73,OL,991315092,,
73,OL,991409063,,
1,DB,991409064,,
1,DB,991340583,,
91,DL,991340584,,
91,DL,991315093,,
91,DL,991409065,,
60,OL,991315094,,
25,DB,991315095,,
26,DB,991340585,,
26,DB,991409066,,
52,OL,991340586,,
52,OL,991315096,,
52,OL,991409067,,
26,DB,991315097,,
93,DL,991409068,,
93,DL,991335854,,
45,LB,991315098,,
45,LB,991373305,,
45,LB,991409069,,
55,DL,991340587,,
55,DL,991315099,,
24,DB,991409070,,
24,DB,991340588,,
24,DB,991315100,,
90,DL,991409071,,
90,DL,991315101,,
90,DL,991340589,,
70,OL,991412727,,
70,OL,991315102,,
